hhid,region,s04q01a,s04q02a,s04q02a_autre,s04q01b,s04q02b,s04q02b_autre,s04q01c,s04q02c,s04q02c_autre,s04q01d,s04q02d,s04q02d_autre,s04q01e,s04q02e,s04q02e_autre,s04q01f,s04q02f,s04q02f_autre,s04q01g,s04q02g,s04q02g_autre,s04q025__1,s04q025__2,s04q025__3,s04q025__4,s04q025__5,s04q06,s04q07,s04q08,s04q11a,s04q11b__1,s04q11b__2,s04q11b__3,s04q11b__4,s04q11b__5,s04q11b__6,s04q11b__7,s04q11b_aut,p0,hhweight_covid,domaine_residence
150001,Kayes,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,1564.4713134765625,Rural
150003,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,1564.4713134765625,Rural
150009,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,1564.4713134765625,Rural
150010,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,1564.4713134765625,Rural
160001,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,4154.3125,Rural
160002,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,1,0,0,,Non Pauvres,3962.352783203125,Rural
160003,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,0,0,1,0,0,,Non Pauvres,3962.352783203125,Rural
160006,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,4154.3125,Rural
160010,Kayes,OUI,,,N'A PAS ESSAYÉ,,,NON,AUTRES (specifier) ,manque d'argent,NON,AUTRES (specifier) ,manque d'argent,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Pauvres,4154.3125,Rural
210001,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,273.9537353515625,Autres_urbains
210002,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,273.9537353515625,Autres_urbains
210004,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,273.9537353515625,Autres_urbains
210006,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,273.9537353515625,Autres_urbains
210009,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,273.9537353515625,Autres_urbains
210011,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Non Pauvres,273.9537353515625,Autres_urbains
250001,Kayes,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,956.28564453125,Autres_urbains
250003,Kayes,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,956.28564453125,Autres_urbains
250006,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,1,0,0,0,0,OUI,Non,,,,,,,,,,,Non Pauvres,956.28564453125,Autres_urbains
250007,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,956.28564453125,Autres_urbains
250010,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,956.28564453125,Autres_urbains
250012,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Non Pauvres,956.28564453125,Autres_urbains
270002,Kayes,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Pauvres,2506.384033203125,Rural
270003,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,2390.57080078125,Rural
270004,Kayes,OUI,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,2390.57080078125,Rural
270010,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,2390.57080078125,Rural
270012,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,2390.57080078125,Rural
290001,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,Non,,,,,,,,,,,Non Pauvres,306.28369140625,Autres_urbains
290003,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,1,0,0,,Non Pauvres,306.28369140625,Autres_urbains
290005,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,0,0,1,0,0,,Non Pauvres,306.28369140625,Autres_urbains
290007,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,306.28369140625,Autres_urbains
290009,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Non Pauvres,306.28369140625,Autres_urbains
290010,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,0,1,0,0,0,,Non Pauvres,306.28369140625,Autres_urbains
300011,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,NON,AUTRES (specifier) ,pauvreté,OUI,,,NON,AUTRES (specifier) ,pauvreté,NON,AUTRES (specifier) ,pauvreté,0,0,0,1,0,NON,,,,,,,,,,,,Pauvres,984.92462158203125,Rural
310005,Kayes,OUI,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,323.2994384765625,Autres_urbains
310007,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,1,0,0,,Non Pauvres,323.2994384765625,Autres_urbains
310009,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,323.2994384765625,Autres_urbains
310010,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,323.2994384765625,Autres_urbains
310011,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Non Pauvres,323.2994384765625,Autres_urbains
310012,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,323.2994384765625,Autres_urbains
320001,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,2207.45751953125,Rural
320002,Kayes,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,2105.456787109375,Rural
320004,Kayes,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,2105.456787109375,Rural
320010,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,2105.456787109375,Rural
370001,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,2606.23388671875,Rural
370002,Kayes,NON,TRANSPORT LIMITÉ / AUCUN ,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,2606.23388671875,Rural
370003,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,2606.23388671875,Rural
370007,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Pauvres,2732.4951171875,Rural
370009,Kayes,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,2606.23388671875,Rural
390002,Kayes,OUI,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,1,0,0,0,0,0,,Non Pauvres,340.315185546875,Autres_urbains
390007,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,340.315185546875,Autres_urbains
390009,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,340.315185546875,Autres_urbains
390010,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,340.315185546875,Autres_urbains
400001,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,1,0,0,0,,Non Pauvres,1001.5540771484375,Rural
400004,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Pauvres,1050.0753173828125,Rural
400005,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Pauvres,1050.0753173828125,Rural
410001,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,4287.6748046875,Rural
410003,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,4287.6748046875,Rural
410005,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,4287.6748046875,Rural
410008,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Tous les enfants scolarisés sont revenus à l'école,,,,,,,,,Non Pauvres,4287.6748046875,Rural
410009,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,1,0,0,,Non Pauvres,4287.6748046875,Rural
410010,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,4287.6748046875,Rural
410011,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,NON,AUGMENTATION DE PRIX ,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,4287.6748046875,Rural
410012,Kayes,OUI,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,4287.6748046875,Rural
420001,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,146.33554077148437,Autres_urbains
420002,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Non Pauvres,146.33554077148437,Autres_urbains
420004,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,0,0,1,0,0,NON,,,,,,,,,,,,Non Pauvres,146.33554077148437,Autres_urbains
420005,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,146.33554077148437,Autres_urbains
420007,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,146.33554077148437,Autres_urbains
420009,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,146.33554077148437,Autres_urbains
