hhid,region,langue,s05q01,s05q02,s05q03,s05q03_autre,s05q04,s05q04_autre,s05q05,s05q06,s05q07,s05q07a,s04q7a_autre,s05q08,s05q08a,s05q09__0,s05q09__1,s05q09__2,s05q09__3,s05q09__4,s05q09__5,s05q09__6,s05q09__7,s05q09__8,s05q09__9,s05q09__10,s05q09__11,s05q09__12,s05q09__13,s05q09__14,s05q09__15,s05q09__16,s05q09__17,s05q09__18,s05q09__19,s05q09__20,s05q09__21,s05q09__22,s05q09__23,s05q09__24,s05q09__25,s05q09__26,s05q09__27,s05q09__28,s05q09__29,s05q09__30,s05q09__31,s05q09__32,s05q09__33,s05q09__34,s05q09__35,s05q09__36,s05q09__37,s05q09__38,s05q09__39,s05q09__40,s05q09__41,s05q09__42,s05q09__43,s05q09__44,s05q09__45,s05q09__46,s05q09__47,s05q09__48,s05q09__49,s05q09__50,s05q09__51,s05q09__52,s05q09__53,s05q09__54,s05q09__55,s05q09__56,s05q09__57,s05q09__58,s05q09__59,s05q10,s05q11,s05q12,s05q13,s05q13_autre,s05q14,s05q15,s05q16,s05q16_autre,s05q17,s05q18,s05q19,s05q20,s05q21,s05q22,s00q01,s00q04,p0,hhweight_covid,domaine_residence
120011,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,NE PEUT SE DEPLACER / TRANSPORTER LES PRODUITS,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,1754.7646484375,Rural
130002,Kayes,Peulh/Foulfoulbé,NON,OUI,COVID-19,,COMMERCE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,"AUTRE, SPECIFIER",COVID,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,4094.45068359375,Rural
130004,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Inférieur à d'habitude,"AUTRE, SPECIFIER",manque d'eau,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Pauvres,3881.1708984375,Rural
130006,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Plus élevé que d'habitude,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Pauvres,3881.1708984375,Rural
130008,Kayes,Peulh/Foulfoulbé,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,4094.45068359375,Rural
140008,Kayes,Peulh/Foulfoulbé,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,OUI,RESTE LES MEMES,AU MEME RYTHME,NON,,,Kayes,Rural,Non Pauvres,1843.3890380859375,Rural
140009,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Kayes,Rural,Non Pauvres,1843.3890380859375,Rural
150003,Kayes,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,1896.563720703125,Rural
150009,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,1896.563720703125,Rural
150010,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,1896.563720703125,Rural
160001,Kayes,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Pauvres,4553.23486328125,Rural
160002,Kayes,Peulh/Foulfoulbé,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,4803.44677734375,Rural
160003,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,4803.44677734375,Rural
160006,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Pauvres,4553.23486328125,Rural
210002,Kayes,Bambara/Malinké,NON,OUI,COVID-19,,ADMINISTRATION PUBLIQUE,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,343.5672607421875,Autres_urbains
210004,Kayes,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,343.5672607421875,Autres_urbains
250001,Kayes,Français,NON,OUI,"AUTRE, SPECIFIER",Sans arret,ADMINISTRATION PUBLIQUE,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,1199.2845458984375,Autres_urbains
250003,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,OUI,AUGMENTE,PLUS FREQUEMMENT,NON,,,Kayes,Urbain,Non Pauvres,1199.2845458984375,Autres_urbains
250007,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Kayes,Urbain,Non Pauvres,1199.2845458984375,Autres_urbains
250010,Kayes,Bambara/Malinké,NON,OUI,COVID-19,,SERVICES PERSONNELS,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,"AUTRE, SPECIFIER",manque d argent,NON,,,NON,,,Kayes,Urbain,Non Pauvres,1199.2845458984375,Autres_urbains
250012,Kayes,Bambara/Malinké,OUI,,,,,,En tant que salarié,NON,Paiement normal complet,REDUCTION DU PERSONNEL A CAUSE DU MANQUE D'ACTIVITE,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,1199.2845458984375,Autres_urbains
270004,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Kayes,Rural,Non Pauvres,2898.020263671875,Rural
270010,Kayes,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,2898.020263671875,Rural
290001,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,OUI,RESTE LES MEMES,AU MEME RYTHME,NON,,,Kayes,Urbain,Non Pauvres,384.1124572753906,Autres_urbains
290003,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Kayes,Urbain,Non Pauvres,384.1124572753906,Autres_urbains
290005,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,384.1124572753906,Autres_urbains
290007,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,NON,,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Kayes,Urbain,Non Pauvres,384.1124572753906,Autres_urbains
290009,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,OUI,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,384.1124572753906,Autres_urbains
290010,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,384.1124572753906,Autres_urbains
300011,Kayes,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Pauvres,1079.503173828125,Rural
310005,Kayes,Bambara/Malinké,NON,OUI,COVID-19,,EXTRACTION MINIERE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,405.4520263671875,Autres_urbains
310007,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,405.4520263671875,Autres_urbains
310009,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,405.4520263671875,Autres_urbains
310010,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,405.4520263671875,Autres_urbains
310011,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,405.4520263671875,Autres_urbains
310012,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,405.4520263671875,Autres_urbains
320001,Kayes,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,NON,,,,NON,,,NON,,,Kayes,Rural,Pauvres,2419.43115234375,Rural
320002,Kayes,Bambara/Malinké,OUI,,,,,,"En tant qu'apprenti, stagiaire",OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Inférieur à d'habitude,NE PEUT SE DEPLACER / TRANSPORTER LES PRODUITS,,NON,,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Kayes,Rural,Non Pauvres,2552.385009765625,Rural
320004,Kayes,Bambara/Malinké,NON,OUI,ABSENT TEMPORAIREMENT,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,2552.385009765625,Rural
320010,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,2552.385009765625,Rural
370002,Kayes,Peulh/Foulfoulbé,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,3159.462646484375,Rural
370003,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Kayes,Rural,Non Pauvres,3159.462646484375,Rural
370004,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,3159.462646484375,Rural
370007,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Kayes,Rural,Pauvres,2994.885986328125,Rural
370008,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,"AUTRE, SPECIFIER",covid19,NON,,,NON,,,Kayes,Rural,Pauvres,2994.885986328125,Rural
370011,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Pauvres,2994.885986328125,Rural
390002,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,426.7916259765625,Autres_urbains
390003,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Kayes,Urbain,Non Pauvres,426.7916259765625,Autres_urbains
390007,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Kayes,Urbain,Non Pauvres,426.7916259765625,Autres_urbains
390009,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,FERMETURE SAISONNIERE,,NON,,,,NE SAIT PAS,,,NON,,,Kayes,Urbain,Non Pauvres,426.7916259765625,Autres_urbains
390010,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NE SAIT PAS,,,NON,,,Kayes,Urbain,Non Pauvres,426.7916259765625,Autres_urbains
400004,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Kayes,Rural,Pauvres,1150.909912109375,Rural
400005,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Rural,Pauvres,1150.909912109375,Rural
400012,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Pauvres,1150.909912109375,Rural
410001,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,NON,TRAVAIL SAISONNIER,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Kayes,Rural,Non Pauvres,5197.82568359375,Rural
410003,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Kayes,Rural,Non Pauvres,5197.82568359375,Rural
410005,Kayes,Bambara/Malinké,OUI,,,,,,Dans une exploitation agricole familiale ou dans l'élevage,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,5197.82568359375,Rural
410008,Kayes,Bambara/Malinké,OUI,,,,,,"En tant qu'apprenti, stagiaire",OUI,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,5197.82568359375,Rural
410010,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,5197.82568359375,Rural
410011,Kayes,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Kayes,Rural,Non Pauvres,5197.82568359375,Rural
420001,Kayes,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NE SAIT PAS,,,NON,,,Kayes,Urbain,Non Pauvres,183.5203857421875,Autres_urbains
